blog_title,blog_url,image_url
POCSO Act: Landmark Cases and amendment,https://blog.finology.in/Legal-news/pocso-act,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/14f9241c87fa464881916512128ac9b3.jpg
Road Safety Laws and Increase in the no. of accidents,https://blog.finology.in/Legal-news/road-safety-laws,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/1c60531464044b2195bb7289694d3d20.jpg
EWS Reservation: Know Everything About it,https://blog.finology.in/Legal-news/ews-reservation,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/0f7f583f6daa48739e2ba74ea0097d19.jpg
Iraq Political Crisis: What is happening in Iraq?,https://blog.finology.in/Legal-news/iraq-political-crisis,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/c173d86f5ee6423cb6fb3de03d3e6ba4.jpg
What is Digital Rape? Laws & Punishment,https://blog.finology.in/Legal-news/digital-rape,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/ebc14c3d50034c8c94bd87c20de52e0f.jpg
Around 5 crore cases are pending in courts across India,https://blog.finology.in/Legal-news/pending-cases-in-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/21c95c4146e24af2befd1b597f4a4a0c.jpg
INS Vikrant: India,https://blog.finology.in/Legal-news/ins-vikrant,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/3e78c727553043baa30d3dcd1d68e7ab.jpg
SC to hear 25 Constitution bench cases from August 29th,https://blog.finology.in/Legal-news/supreme-court-25-constitution-bench-29-august,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/f4451a51aa4a48a7b7b431c116265b14.jpg
List of Governor Generals of India,https://blog.finology.in/Legal-news/list-of-governor-general-in-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/9471766f4b2d4a9d87030addd6f70fb9.jpg
Animal Rights in India: Landmark Cases and laws,https://blog.finology.in/Legal-news/animal-rights-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/972fede115da4a46b4b74191b9b238b1.jpg
Is Delhi a Union Territory or State?,https://blog.finology.in/Legal-news/is-delhi-a-union-territory,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/c5d3956cb87844dcb21956bdd0deb562.jpg
Justice UU Lalit: Important Cases and Judgments,https://blog.finology.in/Legal-news/uu-lalit,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/9389fe9ba976418fb5f5ebdff94e5c0b.jpg
NV Ramana: Careers and Cases,https://blog.finology.in/Legal-news/nv-ramana,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/0204dae946674ea3be733a51108ff86c.jpg
NASA James Webb Space Telescope,https://blog.finology.in/Legal-news/nasa-james-webb-space-telescope,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/e45c745b7cd649e4bea8f082234e9c99.jpg
What is India,https://blog.finology.in/Legal-news/refugee-policy,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/878baaaf9017436cbdc3156799e01393.jpg
The Oscars: List of Winners and Categories,https://blog.finology.in/Legal-news/oscars-winners,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/4818ba61d00f4c68a8a265f927c8e7e6.jpg
Why patent is delayed in India?,https://blog.finology.in/Legal-news/why-patent-is-delayed-in-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/72c6702dd39c4a3dbddc084f49833b9b.jpg
Indian Air Force Ranks and Insignia,https://blog.finology.in/Legal-news/ranks-insignia-air-force,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/0c7360db963a4f69930633f47de70f56.jpg
What is the difference between States and Union Territories?,https://blog.finology.in/Legal-news/states-union-territories,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/47fd5507854745159c2295d658614109.jpg
Indian Navy Ranks and Insignia,https://blog.finology.in/Legal-news/ranks-insignia-navy,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/5b3ee07b8ae74dfd945182ecfcf8515f.jpg
Indian Army Ranks and Insignia,https://blog.finology.in/Legal-news/indian-army-ranks,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/9d9b93d7a4ef4f86a32d55303d0e12af.jpg
Ashoka Chakra Award: Everything you need to know about,https://blog.finology.in/Legal-news/ashok-chakra-award,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/3fe30fe50b3144d9b958c1b36a599186.jpg
"Fatwa : Meaning, Legality & Examples",https://blog.finology.in/Legal-news/fatwa-meaning,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/eb760b7e783a461a85952e682e8a7f81.jpg
IAS Officer Salary: Structure & Facilities,https://blog.finology.in/Legal-news/ias-salary,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/c52ca2e31b9941a2a50b27f7f6b84956.jpg
Bharat Ratna Award Winners List: Civilian Awards in India,https://blog.finology.in/Legal-news/bharat-ratna-award-winners-list,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/82d8620aede548e394353386589139c4.jpg
Bilkis Bano Rape Case: Why rape convicts were released?,https://blog.finology.in/Legal-news/bilkis-bano,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/45b7017752fb4326ae1986e51044ce70.jpg
"WW2 - Timeline, Causes and Aftermath",https://blog.finology.in/Legal-news/world-war-2,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/15a7673d8efc455fbb3292d622f08d2b.jpg
Salman Rushdie Attack: Attempt to murder & book ban,https://blog.finology.in/Legal-news/salman-rushdie-attack-book-ban,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/d0c954ddd7814b56a960bc7b8e0cac98.jpg
The Untold Story of Madam Bhikaiji Cama,https://blog.finology.in/Legal-news/madam-bhikaiji-cama,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/9a00da3035d349baaa822f59837bfb25.jpg
List of 10 Freedom Fighters of India,https://blog.finology.in/Legal-news/top-10-freedom-fighters-of-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/117a05acd75a467fb3eeca02c25cc487.jpg
Flag Code of India- Everything you need to know,https://blog.finology.in/Legal-news/flag-code-of-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/47a7c9138b604f47a1a64c9ce0bf54b1.jpg
Why Pakistan celebrates Independence day on 14th August?,https://blog.finology.in/Legal-news/why-pakistan-celebrates-independence-day-on-14-august,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/1167de32d0be482689ec011f2e7434fb.jpg
10 Female Freedom Fighters of India,https://blog.finology.in/Legal-news/female-freedom-fighters-of-India,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/fb38b98e32ca42c1afe164b0aea71157.jpg
Khudiram Bose: Remembering the Forgotten Legend ,https://blog.finology.in/Legal-news/khudiram-bose,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/4e3f63bd49134736b1e318108cbce895.jpg
Indo-Pak War of 1947- India to celebrate 75th year of independence,https://blog.finology.in/Legal-news/indo-pak-war-1947,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/d4c59b8691684079a34155de620ef7f3.jpg
Evolution of National Flag of India,https://blog.finology.in/Legal-news/evolution-of-national-flag,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/805babcb905847039979aff0fbc1b4b0.jpg
Monsoon Session of the Parliament 2022,https://blog.finology.in/Legal-news/monsoon-session-of-the-parliament-2022,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/f4feb8f54b5a4c25875b9950e8f015f4.jpg
Is Polygamy Legal in India?,https://blog.finology.in/Legal-news/is-polygamy-legal-in-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/cde034785d3e405187051827ce7f4161.jpg
Enforcement Directorate: 10 High Profile Cases in India,https://blog.finology.in/Legal-news/enforcement-directorate,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/273542ea61c94c3d8675830743b8b233.jpg
Gold Loan: How does a gold loan work?,https://blog.finology.in/Legal-news/how-does-a-gold-loan-work,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/17d70a7d55b444608c0b9e18e88e7165.jpg
5G Spectrum Analysis: Everything you need to know,https://blog.finology.in/Legal-news/5g-spectrum-analysis,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/d3bc787d14c048298ba7a583744d083a.png
China-Taiwan Conflict: Is Taiwan part of China?,https://blog.finology.in/Legal-news/china-taiwan-conflict,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/05a50ce7bd9a42509f725eb83a27539c.jpg
Best UPSC books 2022,https://blog.finology.in/Legal-news/best-books-for-upsc-2022,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/e065e8ee12e0488899a83c242610ff75.jpg
"World War 1: Timeline, Reason and Aftermath",https://blog.finology.in/Legal-news/world-war-1,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/4a2a0784931940f6b8ad784e0090c302.jpg
Can government freebie promises be banned in India: SC raises concerns,https://blog.finology.in/Legal-news/government-freebies,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/214e65781d514a6e9244315aa3a2354a.jpg
"Commonwealth Games 2022: Medal Tally, Daily Schedule, and Updates",https://blog.finology.in/Legal-news/commonwealth-games-2022-updates,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/a135ee48f5414d1da0149d3072fd482f.jpg
Famous Landmark Cases of India,https://blog.finology.in/Legal-news/famous-cases-of-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/17f2aaca0cb84e3897d2c769fe55ebec.jpg
Why was Emergency declared in India in 1975? ,https://blog.finology.in/Legal-news/emergency-declared-in-1975-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/6373eef0eb364cfd9ddb80fbd4ae3807.jpg
List of Nobel Prize Winners from India,https://blog.finology.in/Legal-news/nobel-prize-winners-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/f2e85eea0d41481d9909749e46de3b93.jpg
National Herald Case- Accusations against Rahul Gandhi and Sonia Gandhi,https://blog.finology.in/Legal-news/national-herald-scam,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/279fadf0c09048a0a16777449b08d98d.JPG
Best law colleges in India- NIRF Rankings,https://blog.finology.in/Legal-news/best-law-colleges-nirf-ranking,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/3f29861b90f949168a8a4510997bf264.jpg
Top Law Colleges in India,https://blog.finology.in/Legal-news/top-law-colleges-in-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/a092238534fd46068eb8815b19b6dc0e.jpg
"UPSC 2022 Syllabus: IAS Prelims, Mains & Interview Stages",https://blog.finology.in/Legal-news/upsc-syllabus-2022,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/9a60ba4ce580418f916b95ea3d5ad502.JPG
Golden Visa: All you need to Know,https://blog.finology.in/Legal-news/what-is-golden-visa,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/bbb5459ac4664d5e8e9cf003aae093c1.JPG
Kargil War: Remembering Kargil War Heroes on Kargil Vijay Diwas,https://blog.finology.in/Legal-news/kargil-war-vijay-diwas,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/03c520c18fc24a54bec7ef9ca1e72ea3.jpg
Quick Weekly Round Up on Latest News [18th July’ 22 – 23rd July’ 22,https://blog.finology.in/Legal-news/weekly-latest-news-18th-23rd-july-2022,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/50100ec80f264e828e54668ab8691ce4.jpg
Triple Talaq: Comparison with other practiced modes of Talaq,https://blog.finology.in/Legal-news/triple-talaq,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/b84b707a684e4dfca27fb43402a0be8e.jpg
Droupadi Murmu: First Tribal President of India,https://blog.finology.in/Legal-news/droupadi-murmu-first-tribal-president-of-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/e03915d1ad624b9894edc0359ac2e3cf.jpg
Salary of the President of India: Comparison with other countries,https://blog.finology.in/Legal-news/salary-of-president-of-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/22c5f52d27d043afaf376a1097e8462c.jpg
Why the Rupee is falling: Will it fall further against the Dollar?,https://blog.finology.in/Legal-news/why-rupee-is-falling,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/a958576903724165877f363cd85aeb74.jpg
What is Extradition in International Law?,https://blog.finology.in/Legal-news/extradition-in-international-law,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/a04a4ca72be34b878cbb87cf8a7dde6b.JPG
Child Adoption in India- Laws & Procedure,https://blog.finology.in/Legal-news/child-adoption-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/9f12819421894df88118c813423384d5.jpg
Marital Rape Laws in India,https://blog.finology.in/Legal-news/marital-rape-laws-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/ce2ba9917c284b91b5a85e85c6bbb53c.JPG
Can Government Employees Trade in the Stock Market?,https://blog.finology.in/Legal-news/government-employees-trade-in-stock-market,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/42ed09513f4b45d39efd9675f20ecb07.jpg
Important Cases of 2021- Part 2,https://blog.finology.in/Legal-news/important-cases-of-2021-part2,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/b31b9daafa604d40b441ee67ee1483ac.jpeg
Vodafone Tax Dispute Case,https://blog.finology.in/Legal-news/vodafone-tax-case,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/1712061e21d142ddb2d398d9763031a2.jpeg
How to read a case citation?,https://blog.finology.in/Legal-news/case-citation,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/a9997690610140a0ba0c0989c81bbed9.jpg
How to become an Advocate in India?,https://blog.finology.in/Legal-news/how-to-become-advocate-in-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/64a9dd0d0cfd4e7bb6ea71841d4e2500.jpeg
"How Judgment, Decree and Order are Different?",https://blog.finology.in/Legal-news/judgment-decree-order-difference,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/164eb0b463a342c9bae8d3714d8ca3b0.jpeg
"Stages of the Civil Suit as per the Civil Procedure Code, 1908",https://blog.finology.in/Legal-news/stages-of-civil-suit,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/246fc17120114977888fae1f533ea0ea.jpeg
What are the different Marriage Laws in India?,https://blog.finology.in/Legal-news/marriage-laws-in-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/c84fb135531d411290c5c2507684287a.jpeg
Important Cases of 2021- Part 1,https://blog.finology.in/Legal-news/10-important-cases-2021,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/6e6f25ed09734dd9ac29a76d11e8cbd4.jpeg
Attorney-Client Privilege in India,https://blog.finology.in/Legal-news/attorney-client-privilege-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/8bb0f8701020459b83dfe090b3b6cdd7.jpeg
"What is Model Tenancy Act, 2020?",https://blog.finology.in/Legal-news/model-tenancy-act-2020,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/ac9ffbf1ecc045d0bbfb3634efe0abab.jpg
Social Media Sites vs Government of India,https://blog.finology.in/Legal-news/social-media-sites-vs-government-india,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/993b5c6728ab45b88b5489c60546db87.jpg
What is the Interpretation of Live-in Relationship in India?,https://blog.finology.in/Legal-news/live-in-relationship,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/37d061c3e5a0482a821dd6255e91461d.jpeg
Artificial Intelligence and Intellectual Property Rights,https://blog.finology.in/Legal-news/artificial-intelligence-intellectual-property-rights,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/b81a22aea08445e0b92a68ffd3280909.jpg
Future of Cryptocurrencies after Supreme Court,https://blog.finology.in/Legal-news/future-of-cryptocurrencies-after-supreme-court,https://d3po6s2ufk88fh.cloudfront.net/600x400/blog/6c8aab5b34a7489ebe5b040a7afae28b.jpg
