Name,Last,High,Low,chg_pct,chg,Time,Day,Week,Month,Ytd,Year,3Year,Day,Hour,Week,Month
BNY Mellon International 100 ADR,"1,228.67","1,234.91","1,219.58",-1.15%,-14.35,14/02,-1.15%,-2.25%,-4.61%,0.78%,-5.63%,16.47%,Sell,,Neutral,Strong Buy
DJ Australia,499.61,501.74,498.96,-0.49%,-2.45,18:00:00,-0.49%,0.42%,-1.89%,-3.19%,5.26%,21.82%,Neutral,Strong Sell,Neutral,Strong Buy
DJ Australia USD,468.91,471.02,466.87,-0.27%,-1.28,18:00:00,-0.27%,0.49%,-3.17%,-4.93%,-3.19%,22.10%,Neutral,Neutral,Sell,Neutral
DJ Austria,371.07,374.18,366.23,+1.08%,+3.95,18:00:00,+1.08%,-0.39%,-0.87%,1.18%,25.41%,25.97%,Buy,Neutral,Strong Buy,Strong Buy
DJ Austria USD,327.73,330.58,322.71,+1.35%,+4.36,18:00:00,+1.35%,-1.07%,-1.87%,0.93%,17.49%,26.87%,Strong Buy,Neutral,Strong Buy,Strong Buy
DJ Belgium,508.57,511.39,500.93,+1.06%,+5.34,18:00:00,+1.06%,-0.32%,-5.69%,-2.85%,6.28%,2.79%,Strong Sell,Strong Buy,Strong Sell,Strong Buy
DJ Belgium USD,449.41,451.92,441.63,+1.34%,+5.93,18:00:00,+1.34%,-0.96%,-6.41%,-3.07%,-0.50%,3.55%,Strong Sell,Strong Buy,Strong Sell,Sell
DJ Brazil,"11,233,260","11,233,260","11,233,260",+0.20%,+22890,14/02,+0.20%,1.25%,5.74%,7.25%,-16.03%,4.77%,Strong Buy,,Buy,Neutral
DJ Canada,709.54,709.66,708.54,+0.01%,+0.05,18:00:00,+0.01%,-0.24%,-0.14%,0.49%,15.03%,34.93%,Strong Buy,Strong Sell,Strong Buy,Strong Buy
DJ Canada USD,644.18,645.34,642.66,+0.18%,+1.16,18:00:00,+0.18%,-0.30%,-1.52%,-0.22%,14.67%,40.86%,Strong Buy,Neutral,Strong Buy,Strong Buy
DJ Chile,704.62,704.62,700.86,+0.19%,+1.31,18:00:00,+0.19%,1.39%,3.37%,7.82%,-3.65%,-21.48%,Strong Buy,Neutral,Strong Buy,Strong Buy
DJ Chile USD,327.19,327.19,324.08,+0.92%,+2.98,18:00:00,+0.92%,3.63%,4.62%,13.55%,-14.42%,-35.68%,Strong Buy,Strong Buy,Buy,Sell
