blog_title,blog_url,image_url,date
GST Amendment Act,https://blog.ipleaders.in/gst-amendment-act/,https://blog.ipleaders.in/wp-content/uploads/2021/06/940349-gst-1-324x235.jpg,2022-09-09
How to prevent cyber crime,https://blog.ipleaders.in/how-to-prevent-cyber-crime/,https://blog.ipleaders.in/wp-content/uploads/2021/05/file-20190218-121750-os1orj-324x235.jpg,2022-09-09
Guide to getting a software patent in India,https://blog.ipleaders.in/guide-to-getting-a-software-patent-in-india/,https://blog.ipleaders.in/wp-content/uploads/2021/12/patent-translation-324x235.jpg,2022-09-08
S.P. Gupta v. Union of India : case analysis,https://blog.ipleaders.in/s-p-gupta-v-union-of-india-case-analysis/,https://blog.ipleaders.in/wp-content/uploads/2021/01/lady-justice-law-library-concept_218381-945-324x235.jpg,2022-09-08
Marxist theory,https://blog.ipleaders.in/marxist-theory/,https://blog.ipleaders.in/wp-content/uploads/2021/09/Laws-of-Property-324x235.jpg,2022-09-08
Legal framework for protecting cultural heritage throughout the centuries,https://blog.ipleaders.in/legal-framework-for-protecting-cultural-heritage-throughout-the-centuries/,https://blog.ipleaders.in/wp-content/uploads/2021/09/Laws-of-Property-324x235.jpg,2022-09-08
Challenges of a Uniform Civil Code,https://blog.ipleaders.in/challenges-of-a-uniform-civil-code/,https://blog.ipleaders.in/wp-content/uploads/2021/09/UCC-745x375-324x235.png,2022-09-07
99th Constitutional Amendment,https://blog.ipleaders.in/99th-constitutional-amendment/,https://blog.ipleaders.in/wp-content/uploads/2021/01/supreme-court-and-constitution-of-India-324x235.jpg,2022-09-07
Public performance rights given to musicians in the US,https://blog.ipleaders.in/public-performance-rights-given-to-musicians-in-us/,https://blog.ipleaders.in/wp-content/uploads/2021/07/Legal-rights-and-status-324x235.jpg,2022-09-07
"Drugs and Cosmetics Act, 1940",https://blog.ipleaders.in/drugs-and-cosmetics-act-1940/,https://blog.ipleaders.in/wp-content/uploads/2021/10/drop-proceedings-under-section-66a-of-it-act-mha-to-states-and-uts-324x235.jpg,2022-09-07
Judicial restraint,https://blog.ipleaders.in/judicial-restraint/,https://blog.ipleaders.in/wp-content/uploads/2021/09/criminal-justice-1-324x235.jpg,2022-09-06
Deterrent theory of punishment,https://blog.ipleaders.in/deterrent-theory-of-punishment/,https://blog.ipleaders.in/wp-content/uploads/2021/07/how-judges-determine-sentences-750x420-1-324x235.jpg,2022-09-06
Private equity vs Venture capital,https://blog.ipleaders.in/private-equity-vs-venture-capital/,https://blog.ipleaders.in/wp-content/uploads/2020/09/Conversion-of-Loan-into-Equity-324x235.jpg,2022-09-06
Functions of judiciary,https://blog.ipleaders.in/functions-of-judiciary/,https://blog.ipleaders.in/wp-content/uploads/2019/10/Judiciary_logo-324x235.jpg,2022-09-06
