subject,unit,url,description
Distributed System (CS-7001),1,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211209&authkey=ABXPrU6MzdYhXAA&em=2,Server 1
Distributed System (CS-7001),1,https://www.dropbox.com/s/vkfa6p7if4yfc8u/Unit%201%20-%20Distributed%20System%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
Distributed System (CS-7001),2,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211210&authkey=AFh6AamyjQPN8sQ&em=2,Server 1
Distributed System (CS-7001),2,https://www.dropbox.com/s/lgt40gcv2pkqikz/Unit%202%20-%20Distributed%20System%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
Distributed System (CS-7001),3,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211207&authkey=AF9Jtgx0Z3YDFfM&em=2,Server 1
Distributed System (CS-7001),3,https://www.dropbox.com/s/80akvoe1acbzsuz/Unit%203%20-%20Distributed%20System%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
Distributed System (CS-7001),4,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211205&authkey=AHlkkYO7A-qM83Y&em=2,Server 1
Distributed System (CS-7001),4,https://www.dropbox.com/s/cacz57lu8z1awj8/Unit%204%20-%20Distributed%20System%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
Distributed System (CS-7001),5,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211203&authkey=AGc4bOFulDj6Ryw&em=2,Server 1
Distributed System (CS-7001),5,https://www.dropbox.com/s/95hzbhymwoaqmwt/Unit%205%20-%20Distributed%20System%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
Compiler Design (CS-7002),1,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211212&authkey=AM_RUZIkEQVWlrM&em=2,Server 1
Compiler Design (CS-7002),1,https://www.dropbox.com/s/919zw3ygnpxi3r7/Unit%201%20-%20Compiler%20Design%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
Compiler Design (CS-7002),2,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211216&authkey=AB4MGAvNvMFD-60&em=2,Server 1
Compiler Design (CS-7002),2,https://www.dropbox.com/s/yj7ce427b4rcccn/Unit%202%20-%20Compiler%20Design%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
