video_title,video_url,video_views,video_uploaded_on,scrapped_on
SAVE INDIANs 🙏,https://www.youtube.com/shorts/ZxKvMtWIOIQ,245K views,1 day ago,2022-09-09 14:12:18.384721
Zara Dekh Kar! 🚙,https://www.youtube.com/shorts/00V8U0gyVn0,373K views,1 day ago,2022-09-09 14:12:18.384721
Legalise GANJA? ☘️WHAAT????,https://www.youtube.com/shorts/h0lLZk6p80c,750K views,3 days ago,2022-09-09 14:12:18.384721
Is this LAW Biased? 👀,https://www.youtube.com/shorts/z6EqHT1HsGo,401K views,6 days ago,2022-09-09 14:12:18.384721
NO More Circus in India? 🤡,https://www.youtube.com/shorts/oEseQGNVf5Q,735K views,7 days ago,2022-09-09 14:12:18.384721
Should you have a Credit Card or not?,https://www.youtube.com/shorts/4AupGLDSPXs,274K views,7 days ago,2022-09-09 14:12:18.384721
August 2022 | Monthly Current Affairs | Competitive Exams,https://www.youtube.com/watch?v=mYiuwoNYEJg,45K views,8 days ago,2022-09-09 14:12:18.384721
What’s happening in India? #ncrb2021,https://www.youtube.com/shorts/uyeImK5TTDo,521K views,9 days ago,2022-09-09 14:12:18.384721
Buying 🏠? MUST Know this!!!,https://www.youtube.com/shorts/pGd7lM4QHuA,329K views,10 days ago,2022-09-09 14:12:18.384721
Why GOVT standing Against them! 🧐,https://www.youtube.com/shorts/glmfj6j68WY,471K views,12 days ago,2022-09-09 14:12:18.384721
How India SMOKES 😯,https://www.youtube.com/shorts/WFrmhDpC3jw,5.9M views,13 days ago,2022-09-09 14:12:18.384721
Will you call it a BRIBE?,https://www.youtube.com/shorts/ZalyTXO_RiE,408K views,2 weeks ago,2022-09-09 14:12:18.384721
Truth About Gujarat Policy! #bilkisbanocase,https://www.youtube.com/shorts/KvcJWeNmq1I,483K views,2 weeks ago,2022-09-09 14:12:18.384721
Who Released them?,https://www.youtube.com/shorts/AgYdJvM4G4k,699K views,2 weeks ago,2022-09-09 14:12:18.384721
Fatwa Explained!💡,https://www.youtube.com/shorts/2bnOiJdAJpI,263K views,2 weeks ago,2022-09-09 14:12:18.384721
India @75 | How far has India come since Independence? Finology Legal,https://www.youtube.com/watch?v=qsAa-K4aLlU,51K views,3 weeks ago,2022-09-09 14:12:18.384721
4 Important skills every lawyer must have!,https://www.youtube.com/shorts/6McygHE1DL8,297K views,4 weeks ago,2022-09-09 14:12:18.384721
Is Taiwan part of China? China-Taiwan conflict Explained!,https://www.youtube.com/watch?v=NIR-2i2dvMc,46K views,1 month ago,2022-09-09 14:12:18.384721
Who are BRITISHERS? 🇬🇧,https://www.youtube.com/shorts/qUlvCUZUnOs,4.7M views,1 month ago,2022-09-09 14:12:18.384721
July 2022 | Monthly Current Affairs | Competitive Exams,https://www.youtube.com/watch?v=GWtjnsotX2E,85K views,1 month ago,2022-09-09 14:12:18.384721
Facts you didnt know about Presidents | Draupadi Murmu |Presidential Elections 2022,https://www.youtube.com/watch?v=CV1syXmbl-s,120K views,1 month ago,2022-09-09 14:12:18.384721
National Emblem Controversy Row | Why is it so Controversial? | Finology Legal,https://www.youtube.com/watch?v=Xu-KuOLqnd4,88K views,1 month ago,2022-09-09 14:12:18.384721
DON’T use these Words! 🚫,https://www.youtube.com/shorts/GBomr-r6C-c,1.2M views,1 month ago,2022-09-09 14:12:18.384721
Inflation in India | Types of Inflation Explained,https://www.youtube.com/watch?v=dGFZ7eoUkPg,100K views,1 month ago,2022-09-09 14:12:18.384721
Its an Emergency! 🇮🇳🚨,https://www.youtube.com/shorts/rQgiGdRe2LM,1.2M views,1 month ago,2022-09-09 14:12:18.384721
Are Judges SLOW? 🐢,https://www.youtube.com/shorts/LTjzOEIQFmQ,1.3M views,2 months ago,2022-09-09 14:12:18.384721
June 2022 | Monthly Current Affairs | Competitive Exams,https://www.youtube.com/watch?v=uU8tzx9tREw,104K views,2 months ago,2022-09-09 14:12:18.384721
Cost of Allahabad  ➡️ Prayagraj! 🚧,https://www.youtube.com/shorts/p2zhsTXW4KY,1M views,2 months ago,2022-09-09 14:12:18.384721
