playlist_title,video_title,video_url
2021 Important Cases,Right to be Forgotten | Important Judgments of 2021 | CLAT | Law Exams,https://www.youtube.com/watch?v=s0BHzbPo45g&list=PLj61oJGRK5Y4JlZMhQ7eALRln_W6AjqOl&index=1
2021 Important Cases,Skin- to- skin Contact Judgment| Sexual Assault Cases 2021| Important Judgments of 2021,https://www.youtube.com/watch?v=CpQIIlDJuE0&list=PLj61oJGRK5Y4JlZMhQ7eALRln_W6AjqOl&index=2
2021 Important Cases,UOI v. KA Najeeb | Important Cases of 2021,https://www.youtube.com/watch?v=HIc-m9Jylwo&list=PLj61oJGRK5Y4JlZMhQ7eALRln_W6AjqOl&index=3
Family Law,Sources of Hindu Law | Ancient & Modern Sources | Family Law,https://www.youtube.com/watch?v=ffe3E4MJ-kA&list=PLj61oJGRK5Y6ko5bnHd8hIbNwOBa6giBa&index=1
Family Law,Divorce (Talaq) Under Muslim Law | Types of Talaq,https://www.youtube.com/watch?v=8jZUjS3ez4Q&list=PLj61oJGRK5Y6ko5bnHd8hIbNwOBa6giBa&index=2
Family Law,Do daughters have right to inherit father's self acquired property? | Important Judgment,https://www.youtube.com/watch?v=eub1KbmRz6I&list=PLj61oJGRK5Y6ko5bnHd8hIbNwOBa6giBa&index=3
CPC | Civil Procedure Code,Difference between Judge and Magistrate | Indian Judiciary,https://www.youtube.com/watch?v=wcspthKBs3g&list=PLj61oJGRK5Y7_VQlOtx6q7APxjjeUzcWG&index=1
CPC | Civil Procedure Code,Tricks to Remember Orders of CPC | Learn CPC easily & quickly | Orders of Civil Procedure Code,https://www.youtube.com/watch?v=N1EEbgBOH4E&list=PLj61oJGRK5Y7_VQlOtx6q7APxjjeUzcWG&index=2
CPC | Civil Procedure Code,Tricks & Techniques to Remember Orders of CPC | Learn CPC quickly | Orders of Civil Procedure Code,https://www.youtube.com/watch?v=Qd1SzqrYZUw&list=PLj61oJGRK5Y7_VQlOtx6q7APxjjeUzcWG&index=3
CPC | Civil Procedure Code,Difference between Judgment Decree and Order | Civil Procedure Code,https://www.youtube.com/watch?v=HPRkYVqgo5s&list=PLj61oJGRK5Y7_VQlOtx6q7APxjjeUzcWG&index=4
Exams for Students,TOP Exams for Law Students | Exams after LL. B,https://www.youtube.com/watch?v=vH07tUyzmzc&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=1
Exams for Students,AIBE 2021 | New Exam Pattern | How to Prepare for AIBE Exam | New Pattern BCI AIBE,https://www.youtube.com/watch?v=hPn1mXEr1HU&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=2
Exams for Students,"IBPS SO Law Officer Exam 2021 | Know the Eligibility, Dates, Pattern & Syllabus IBPS",https://www.youtube.com/watch?v=pJGmyttJHCo&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=3
Exams for Students,Government Exams/Jobs for a Law Student | Career Options After LLB,https://www.youtube.com/watch?v=GNExywhBDZw&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=4
Exams for Students,Understand Full History of Israel-Palestine: Explained,https://www.youtube.com/watch?v=GL-Rv2Zy8jQ&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=5
Exams for Students,Battle for Jerusalem 2021 | Israel-Palestine Conflict,https://www.youtube.com/watch?v=vnld0iAEXQQ&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=6
Exams for Students,Evolution and History of Civil Services in India | UPSC Exam in India,https://www.youtube.com/watch?v=BrWo8EHL8Is&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=7
Exams for Students,Must Know Cases of 2021 | Top Cases for 2021 Exams,https://www.youtube.com/watch?v=3e1JE9o-wjE&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=8
Exams for Students,August 2021 Monthly Current Affairs | August 2021 | Current Affairs 2021,https://www.youtube.com/watch?v=ls9MUKD0_RA&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=9
Exams for Students,How to Crack a Job Interview | How to Get a Job?,https://www.youtube.com/watch?v=r9pgdxIvtEA&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=10
Exams for Students,5 Benefits of Bar Council Registration in India | State Bar Council | AIBE,https://www.youtube.com/watch?v=d6l53YFQCMw&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=11
Exams for Students,Is Marital Rape a Crime in India? | Crime Against Women | IPC,https://www.youtube.com/watch?v=SfI8Y5fxBPY&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=12
Exams for Students,October 2021 Monthly Current Affairs | October 2021 | Current Affairs 2021,https://www.youtube.com/watch?v=BNNQX_4dNzg&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=13
Exams for Students,Farm Laws are getting REPEALED! Explained with Full Timeline,https://www.youtube.com/watch?v=x87wMtye4Cs&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=14
Exams for Students,IAS v. IPS v. IFS | What is the Difference?,https://www.youtube.com/watch?v=RBfp15_Ralg&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=15
Exams for Students,Rank of Police Officers in India | Indian Police Service | UPSC | State PSC,https://www.youtube.com/watch?v=HCzNNCHEWgo&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=16
Exams for Students,November 2021 Monthly Current Affairs | November 2021 | Current Affairs 2021,https://www.youtube.com/watch?v=hj0CYduxeSA&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=17
Exams for Students,December 2021 Monthly Current Affairs | December 2021 | Current Affairs 2021,https://www.youtube.com/watch?v=94mZSjK-RcQ&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=18
Exams for Students,GK Series on Computer Knowledge | Competitive Exams 2022,https://www.youtube.com/watch?v=IVdrYhkHINE&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=19
Exams for Students,BASICS of BANKING | For Competitive Exams 2022,https://www.youtube.com/watch?v=NGWesJRKw6Y&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=20
Exams for Students,Highest Paying Jobs in India 2022,https://www.youtube.com/watch?v=TJ0uzzOw46c&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=21
Exams for Students,January 2022 | Monthly Current Affairs| Current Affairs 2022,https://www.youtube.com/watch?v=h4h79aOf1K0&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=22
Exams for Students,Trick to Remember Full Fundamental Rights | Indian Constitution,https://www.youtube.com/watch?v=7jG6G-kIzD4&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=23
Exams for Students,Ukraine Russia Crisis | Russia Ukraine conflict explained,https://www.youtube.com/watch?v=ZhSMv-AB-jg&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=24
Exams for Students,February 2022 | Monthly Current Affairs| Current Affairs 2022,https://www.youtube.com/watch?v=MQHRdXqQB6M&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=25
Exams for Students,Most Important Current Affairs for Law Entrance Exams 2022 | CLAT | AILET | DU LLB,https://www.youtube.com/watch?v=M3O6bW8dDFE&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=26
Exams for Students,March 2022 | Monthly Current Affairs | Competitive Exams,https://www.youtube.com/watch?v=ul2eRvUikz4&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=27
Exams for Students,April 2022 | Monthly Current Affairs | Competitive Exams,https://www.youtube.com/watch?v=mJAjLWFDOoI&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=28
Exams for Students,Facts you didnt know about Presidents | Draupadi Murmu |Presidential Elections 2022,https://www.youtube.com/watch?v=CV1syXmbl-s&list=PLj61oJGRK5Y4fU9a1iBiVf2uF9pVhegbv&index=29
Important Topics for Competitive Exams,"CAB 2019 | Citizenship Amendment Bill, 2019 | Assam Protests",https://www.youtube.com/watch?v=ZUqv2xwCWi8&list=PLj61oJGRK5Y51o7d8ItyOYUHSmM2aMp15&index=1
Important Topics for Competitive Exams,Indian Citizenship Act | Acquisition and Loss of Citizenship | Sec 3 - 10,https://www.youtube.com/watch?v=BKtdaRo-4tk&list=PLj61oJGRK5Y51o7d8ItyOYUHSmM2aMp15&index=2
Important Topics for Competitive Exams,Important Recent Cases of 2019-2020 | Major Landmark judgments of 2019 - 2020,https://www.youtube.com/watch?v=NI_K630x6Qo&list=PLj61oJGRK5Y51o7d8ItyOYUHSmM2aMp15&index=3
Important Topics for Competitive Exams,Important Legal GK 2020 | CLAT UG | Competitive Exams,https://www.youtube.com/watch?v=YbbMQDIUH8E&list=PLj61oJGRK5Y51o7d8ItyOYUHSmM2aMp15&index=4
Important Topics for Competitive Exams,Most Important Rankings of 2020 | Current Affairs Yearly Compilation 2020 | CLAT UG 2021,https://www.youtube.com/watch?v=09lLGIlK_Y0&list=PLj61oJGRK5Y51o7d8ItyOYUHSmM2aMp15&index=5
Important Topics for Competitive Exams,Right to Protest under Indian Constitution: Is it a Fundamental Right?,https://www.youtube.com/watch?v=oDzdknlxcms&list=PLj61oJGRK5Y51o7d8ItyOYUHSmM2aMp15&index=6
Important Topics for Competitive Exams,Most Important Awards of 2020 | Current Affairs Yearly Compilation 2020 | CLAT UG 2021,https://www.youtube.com/watch?v=hl0SYKsD_SQ&list=PLj61oJGRK5Y51o7d8ItyOYUHSmM2aMp15&index=7
Important Topics for Competitive Exams,Increasing Legal Age of Marriage for Girls in India - Yes or No?,https://www.youtube.com/watch?v=UMRCIbWVeOM&list=PLj61oJGRK5Y51o7d8ItyOYUHSmM2aMp15&index=8
Important Topics for Competitive Exams,One Nation One Election- Explained!,https://www.youtube.com/watch?v=KzLj5FuOvos&list=PLj61oJGRK5Y51o7d8ItyOYUHSmM2aMp15&index=9
Important Topics for Competitive Exams,Comedy and Contempt of Court in India | Freedom of Speech and Personal Liberty | Kunal Kamra,https://www.youtube.com/watch?v=QE2x15yWy8w&list=PLj61oJGRK5Y51o7d8ItyOYUHSmM2aMp15&index=10
Important Topics for Competitive Exams,Anti Conversion Law - Is changing your Religion Illegal?,https://www.youtube.com/watch?v=7CqU20-by68&list=PLj61oJGRK5Y51o7d8ItyOYUHSmM2aMp15&index=11
Important Topics for Competitive Exams,Why Arnab Goswami was Arrested and Why Supreme Court granted Bail,https://www.youtube.com/watch?v=aAMW4VAur1s&list=PLj61oJGRK5Y51o7d8ItyOYUHSmM2aMp15&index=12
Important Topics for Competitive Exams,3 New Labour Codes | Labour Law Reforms,https://www.youtube.com/watch?v=kQZ_vjgSUDg&list=PLj61oJGRK5Y51o7d8ItyOYUHSmM2aMp15&index=13
